tandus	tandus
si	si
uisum	uisum
fũit	fuerit
expedire	expedire
caueat	caueat
etiam	etiam
diligent̃	diligenter
ne	ne
ad	ad
exꝮmunicatõnẽ	excomunicationem
cui᷒qͣm	cuiusquam
absq;	absque
manifesta	manifesta
⁊	et
rõnabili	rationabili
causa	causa
ꝓcedat	procedat
ad	ad
qͣm	quam
si	si
talit̃	taliter
forte	forte
ꝓcesserit	processerit
⁊	et
requisit᷒	requisitus
humilit̃	humiliter
ꝓcessũ	processum
hui᷒mͦi	huiusmodi
ñ	non
curaũit	curauerit
absq;	absque
gͣuamine	grauamine
reuocare	reuocare
grauatus	granatus
aput	aput
suꝑiorem	superiorem
deponat	deponat
de	de
ĩiusta	iniusta
excõmunicatõne	excomunicatione
q̃relam	querelam
ꝙ	quod
si	si
absq;	absque
ꝑiculo	periculo
more	more
põt	potest
ad	ad
excõicatorem	excomunicatorem
illum	illum
cũ	cum
suo	suo
mandato	mandato
remittat	remittat
infra	infra
competentẽ	competentem
t̃minũ	terminum
absoluendũ	absoluendum
alioqͥn	alioquin
ip̃e	ipse
ꝑ	per
se	se
ul̃	uel
per	per
alium	alium
prout	prout
uid̃it	uiderit
expedire	expedire
sufficienti	sufficienti
cautione	cautione
recepta	recepta
mun᷒	munus
ei	ei
absolutionis	absolutionis
impendat	impendat
cumq;	cumque
adũsus	aduersus
excõmunicatorẽ	excommunicatorem
de	de
ĩiusta	iniusta
excõicatõne	excomunicatione
Ꝯstit̃it	constiterit
excõicator	excommunicator
Ꝯdẽpnet᷑	condempnetur
excõicato	excommunicato
ad	ad
int̃eẽ	interesse
alias	alias
nich̃omin᷒	nichilominus
cum	cum
culpe	culpe
qualitas	qualitas
postulaũit	postulauerit
suꝑioris	superioris
arbitrio	arbitrio
puniend᷒	puniendus
cũ	cum
ñ	non
leus	leuis
sit	sit
culpa	culpa
tantã	tantam
infigere	infligere
penam	penam
insonti	insonti
nͥ	nisi
forsan	forsan
erraũit	errauerit
ex	ex
causa	causa
ꝓbabili	probabili
maxime	maxime
si	si
laudabil̃	laudabilis
opiniõis	opinionis
existat	existat
uerũ	uerum
si	si
contͣ	contra
excõicatõis	excomunicationis
sentñtiã	sententiam
nich̃	nichil
rationabile	rationabile
fũit	fuerit
a	a
cõq̃rente	conquerente
ꝓbatũ	probatum
idem	idem
⁊	et
suꝑ	super
ĩiusta	iniusta
excõicatõnis	excomunicationis
molestia	molestia
ꝑ	per
penam	penam
ad	ad
int̃eẽ	interesse
ul̃	uel
aliã	aliam
scd̃m	secundum
suꝑioris	superioris
arbitͥum	arbitrium
nͥ	nisi
forsan	forsan
⁊	et
ip̃m	ipsum
ꝓbabilis	probabilis
error	error
excuset	excuset
⁊	et
suꝑ	super
eo	eo
ꝓ	pro
quo	quo
iusta	insta
fuit	fuit
excõmunicatõe	excommunicatione
ligatus	ligatus
ꝑ	per
cautionẽ	cautionem
receptã	receptam
satiffac̃e	satisfacere
cõpellat᷑	compellatur
l̃	uel
in	in
pͥstinã	pristinam
reducat᷑	reducatur
sententiã	sententiam
usq;	usque
ad	ad
satisfactionẽ	satisfactionem
Ꝯdignã	condignam
ĩuiolabilit̃	inuiolabiliter
obseruandã	obseruandam
si	si
uͦ	uero
iudex	iudex
suũ	suum
recogtioscens	recognoscens
errorẽ	errorem
parat᷒	paratus
sit	sit
talẽ	talem
reuocare	reuocare
sententiã	sententiam
⁊	et
is	is
ꝓ	pro
qͦ	quo
lata	lata
fũit	fuerit
ne	ne
absq;	absque
satisfactione	satisfactione
reuocet	reuocet
illã	illam
appellet	appellet
appll̃atõi	appellationi
ñ	non
deferat	deferat
in	in
hac	hac
parte	parte
nisi	nisi
talis	talis
sit	sit
error	error
de	de
qͦ	quo
m̃ito	merito
ualeat	ualeat
dubitari	dubitari
⁊	et
tũc	tunc
sufficienti	sufficienti
cautione	cautione
recepta	recepta
qd̃	quod
corã	coram
eo	eo
ad	ad
quẽ	quem
extit̃it	extiterit
appellatum	appellatum
ul̃	uel
delegato	delegato
ab	ab
ip̃o	ipso
iuri	iuri
pareat	pareat
excõicatũ	excommunicatum
absoluat	absoluat
sicq;	sicque
pene	pene
p̃scripte	prescripte
minime	minime
subiacebit	subiacebit
cauens	cauens
omnino	omnino
ne	ne
uolũtate	uoluntate
ꝑũsa	peruersa
ĩ	in
alt̃ius	alterius
p̃iudiciũ	preiudicium
m̃tiatur	mentiatur
errorẽ	errorem
si	si
distͥctionis	districtionis
canonice	canonice
uult	uult
effug̃e	effugere
disciplinam	disciplinam
De	De
modo	modo
recusandi	recusandi
iudicem	iudicem
Dum	Dum
sp̃ali	speciali
sit	sit
ꝓhibitione	prohibitione
ꝓuisum	prouisum
ne	ne
quis	quis
ĩ	in
aliquẽ	aliquem
excõicatõis	excomunicationis
sententiã	sententiam
nͥ	nisi
Ꝯpetenti	competenti
Ꝯmonitõne	commonitione
p̃missa	premissa
ꝓmulgare	promulgare
p̃sumat	presumat
uolentes	uolentes
etiã	etiam
ꝓuid̃e	prouidere
ne	ne
forte	forte
Ꝯmonit᷒	commonitus
frustratorie	frustratorie
recusationis	recusationis
l̃	uel
appellatõnis	appellationis
obiectu	obiectu
monentis	monentis
declinare	declinare
possit	possit
examen	examen
statuim᷒	statuimus
qd̃	quod
